"행정구역별","항목",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"부산광역시","출생건수 (명)",41222,35848,30767,30117,28231,25681,25881,28426,26670,25110,27415,27759,28673,25831,26190,26645,24906,21480,19152
"부산광역시","조출생률 (천명당)",10.8,9.5,8.2,8.1,7.7,7.0,7.1,7.9,7.5,7.1,7.8,7.9,8.2,7.4,7.5,7.7,7.2,6.2,5.6
"부산광역시","사망건수 (명)",18318,18422,18688,18528,18722,18854,18983,19170,19385,18954,19708,19643,20534,20096,20230,20820,21074,21434,22570
"부산광역시","조사망률 (천명당)",4.8,4.9,5.0,5.0,5.1,5.2,5.2,5.3,5.4,5.3,5.6,5.6,5.9,5.8,5.8,6.0,6.1,6.2,6.6
"부산광역시","자연증가건수 (명)",22904,17426,12079,11589,9509,6827,6898,9256,7285,6156,7707,8116,8139,5735,5960,5825,3832,46,-3418
"부산광역시","자연증가율 (천명당)",6.0,4.6,3.2,3.1,2.6,1.9,1.9,2.6,2.0,1.7,2.2,2.3,2.3,1.6,1.7,1.7,1.1,0.0,-1.0
"부산광역시","혼인건수 (건)",23343,21825,20916,20027,19898,18973,20017,21484,20149,18614,20195,20224,20362,20734,18927,18553,17113,15677,14781
"부산광역시","조혼인율 (천명당)",6.1,5.8,5.6,5.4,5.4,5.2,5.5,6.0,5.6,5.2,5.7,5.8,5.8,5.9,5.4,5.3,4.9,4.5,4.3
"부산광역시","이혼건수 (건)",10129,10489,12065,14120,11334,9905,8953,8677,7908,8550,7645,7514,7501,7444,7345,6649,6859,6651,6678
"부산광역시","조이혼율 (천명당)",2.7,2.8,3.2,3.8,3.1,2.7,2.5,2.4,2.2,2.4,2.2,2.1,2.1,2.1,2.1,1.9,2.0,1.9,2.0
"중구","출생건수 (명)",593,540,468,404,392,303,303,328,309,298,355,324,298,266,264,257,211,174,163
"중구","조출생률 (천명당)",10.1,9.4,8.3,7.3,7.3,5.8,5.9,6.5,6.2,6.1,7.3,6.8,6.3,5.7,5.8,5.7,4.8,4.0,3.9
"중구","사망건수 (명)",340,386,328,367,364,346,356,332,378,385,380,351,365,349,374,357,392,374,367
"중구","조사망률 (천명당)",5.8,6.7,5.8,6.7,6.8,6.6,6.9,6.6,7.6,7.8,7.8,7.4,7.8,7.5,8.2,7.9,8.9,8.6,8.7
"중구","자연증가건수 (명)",253,154,140,37,28,-43,-53,-4,-69,-87,-25,-27,-67,-83,-110,-100,-181,-200,-204
"중구","자연증가율 (천명당)",4.3,2.7,2.5,0.7,0.5,-0.8,-1.0,-0.1,-1.4,-1.8,-0.5,-0.6,-1.4,-1.8,-2.4,-2.2,-4.1,-4.6,-4.8
"중구","혼인건수 (건)",370,415,394,396,332,256,292,284,283,262,293,296,315,305,297,261,214,224,184
"중구","조혼인율 (천명당)",6.3,7.2,7.0,7.2,6.2,4.9,5.7,5.6,5.7,5.3,6.1,6.2,6.7,6.6,6.5,5.8,4.8,5.2,4.4
"중구","이혼건수 (건)",204,208,216,259,224,180,158,164,160,159,146,147,157,142,123,94,119,103,108
"중구","조이혼율 (천명당)",3.5,3.6,3.8,4.7,4.2,3.4,3.1,3.3,3.2,3.2,3.0,3.1,3.3,3.1,2.7,2.1,2.7,2.4,2.6
"서구","출생건수 (명)",1410,1290,989,1036,891,834,796,835,712,619,631,675,674,584,608,599,574,458,426
"서구","조출생률 (천명당)",9.0,8.4,6.6,7.1,6.2,5.9,5.8,6.2,5.4,4.9,5.1,5.5,5.6,5.0,5.2,5.2,5.1,4.2,3.9
"서구","사망건수 (명)",963,958,988,945,944,967,904,938,946,959,885,1004,983,923,891,1039,1018,987,1052
"서구","조사망률 (천명당)",6.1,6.2,6.6,6.5,6.6,6.9,6.6,7.0,7.2,7.5,7.1,8.2,8.2,7.9,7.7,9.1,9.1,9.0,9.7
"서구","자연증가건수 (명)",447,332,1,91,-53,-133,-108,-103,-234,-340,-254,-329,-309,-339,-283,-440,-444,-529,-626
"서구","자연증가율 (천명당)",2.9,2.2,0.0,0.6,-0.4,-0.9,-0.8,-0.8,-1.8,-2.7,-2.0,-2.7,-2.6,-2.9,-2.4,-3.8,-4.0,-4.8,-5.8
"서구","혼인건수 (건)",992,993,870,823,762,704,685,720,673,646,667,644,616,655,554,557,476,435,420
"서구","조혼인율 (천명당)",6.3,6.5,5.8,5.6,5.3,5.0,5.0,5.4,5.1,5.1,5.4,5.3,5.1,5.6,4.8,4.9,4.2,4.0,3.9
"서구","이혼건수 (건)",492,462,499,587,493,400,393,334,343,331,321,320,278,281,255,253,278,232,226
"서구","조이혼율 (천명당)",3.1,3.0,3.3,4.0,3.4,2.8,2.8,2.5,2.6,2.6,2.6,2.6,2.3,2.4,2.2,2.2,2.5,2.1,2.1
"동구","출생건수 (명)",1138,984,892,831,716,622,615,681,628,603,627,667,639,552,520,482,436,373,321
"동구","조출생률 (천명당)",8.8,7.8,7.3,7.0,6.2,5.6,5.7,6.4,6.0,5.9,6.3,6.7,6.6,5.8,5.6,5.3,4.9,4.3,3.7
"동구","사망건수 (명)",779,788,840,820,819,755,754,759,804,786,838,787,853,811,804,856,810,831,848
"동구","조사망률 (천명당)",6.0,6.3,6.8,6.9,7.1,6.7,7.0,7.2,7.7,7.7,8.4,8.0,8.8,8.5,8.6,9.4,9.1,9.5,9.9
"동구","자연증가건수 (명)",359,196,52,11,-103,-133,-139,-78,-176,-183,-211,-120,-214,-259,-284,-374,-374,-458,-527
"동구","자연증가율 (천명당)",2.8,1.6,0.4,0.1,-0.9,-1.2,-1.3,-0.7,-1.7,-1.8,-2.1,-1.2,-2.2,-2.7,-3.0,-4.1,-4.2,-5.2,-6.1
"동구","혼인건수 (건)",832,761,732,669,584,535,606,629,613,555,523,561,539,506,493,422,385,361,384
"동구","조혼인율 (천명당)",6.5,6.1,6.0,5.6,5.0,4.8,5.6,5.9,5.9,5.4,5.2,5.7,5.5,5.3,5.3,4.6,4.3,4.1,4.5
"동구","이혼건수 (건)",386,383,423,483,344,342,283,308,252,277,262,235,232,246,241,228,215,229,178
"동구","조이혼율 (천명당)",3.0,3.0,3.4,4.0,3.0,3.1,2.6,2.9,2.4,2.7,2.6,2.4,2.4,2.6,2.6,2.5,2.4,2.6,2.1
"영도구","출생건수 (명)",1660,1504,1251,1208,1049,901,955,995,906,767,894,851,793,684,653,634,619,469,404
"영도구","조출생률 (천명당)",8.9,8.3,7.1,7.0,6.2,5.5,5.9,6.3,5.9,5.1,6.1,6.0,5.7,5.0,5.0,4.9,4.9,3.8,3.4
"영도구","사망건수 (명)",1106,1107,1156,1080,1068,1056,1067,1069,1071,1119,1143,1061,1103,1092,1115,1104,1111,1095,1144
"영도구","조사망률 (천명당)",5.9,6.1,6.5,6.3,6.3,6.4,6.6,6.8,7.0,7.5,7.8,7.4,7.9,8.1,8.5,8.6,8.8,8.9,9.6
"영도구","자연증가건수 (명)",554,397,95,128,-19,-155,-112,-74,-165,-352,-249,-210,-310,-408,-462,-470,-492,-626,-740
"영도구","자연증가율 (천명당)",3.0,2.2,0.5,0.7,-0.1,-0.9,-0.7,-0.5,-1.1,-2.3,-1.7,-1.5,-2.2,-3.0,-3.5,-3.7,-3.9,-5.1,-6.2
"영도구","혼인건수 (건)",1121,1079,991,912,938,809,848,905,804,770,800,757,703,698,611,546,521,436,413
"영도구","조혼인율 (천명당)",6.0,5.9,5.6,5.3,5.6,4.9,5.3,5.8,5.2,5.1,5.5,5.3,5.0,5.1,4.6,4.2,4.1,3.5,3.4
"영도구","이혼건수 (건)",589,597,673,787,574,511,467,418,358,397,390,342,332,326,307,306,292,284,270
"영도구","조이혼율 (천명당)",3.2,3.3,3.8,4.6,3.4,3.1,2.9,2.7,2.3,2.6,2.7,2.4,2.4,2.4,2.3,2.4,2.3,2.3,2.3
"부산진구","출생건수 (명)",4545,3987,3595,3464,3250,3077,3209,3534,3299,3175,3270,3288,3475,3070,3027,3029,2692,2288,2018
"부산진구","조출생률 (천명당)",10.5,9.3,8.5,8.3,8.0,7.5,7.9,8.7,8.2,8.0,8.3,8.4,8.9,8.0,7.9,8.0,7.2,6.2,5.6
"부산진구","사망건수 (명)",2158,2137,2162,2116,2096,2158,2189,2180,2256,2107,2293,2267,2435,2349,2398,2353,2447,2407,2478
"부산진구","조사망률 (천명당)",5.0,5.0,5.1,5.1,5.1,5.3,5.4,5.4,5.6,5.3,5.8,5.8,6.3,6.1,6.3,6.2,6.5,6.5,6.8
"부산진구","자연증가건수 (명)",2387,1850,1433,1348,1154,919,1020,1354,1043,1068,977,1021,1040,721,629,676,245,-119,-460
"부산진구","자연증가율 (천명당)",5.5,4.3,3.4,3.2,2.8,2.3,2.5,3.4,2.6,2.7,2.5,2.6,2.7,1.9,1.6,1.8,0.7,-0.3,-1.3
"부산진구","혼인건수 (건)",2747,2585,2457,2372,2356,2488,2450,2695,2586,2214,2389,2548,2500,2621,2309,2131,1914,1819,1741
"부산진구","조혼인율 (천명당)",6.4,6.0,5.8,5.7,5.8,6.1,6.0,6.7,6.4,5.6,6.1,6.5,6.4,6.8,6.0,5.6,5.1,4.9,4.8
"부산진구","이혼건수 (건)",1086,1138,1366,1467,1219,1103,1011,934,842,1005,796,814,799,786,776,697,720,678,695
"부산진구","조이혼율 (천명당)",2.5,2.7,3.2,3.5,3.0,2.7,2.5,2.3,2.1,2.5,2.0,2.1,2.1,2.0,2.0,1.8,1.9,1.8,1.9
"동래구","출생건수 (명)",2882,2469,2061,1990,1951,1662,1778,2051,2020,1868,2011,2051,2111,1775,1813,1833,1737,1458,1297
"동래구","조출생률 (천명당)",9.6,8.3,7.0,7.0,7.0,6.0,6.4,7.3,7.1,6.6,7.2,7.3,7.6,6.5,6.6,6.7,6.4,5.4,4.9
"동래구","사망건수 (명)",1355,1313,1311,1297,1281,1306,1370,1360,1430,1295,1372,1411,1379,1407,1423,1372,1457,1511,1656
"동래구","조사망률 (천명당)",4.5,4.4,4.5,4.5,4.6,4.7,4.9,4.8,5.0,4.6,4.9,5.0,5.0,5.1,5.2,5.0,5.4,5.6,6.2
"동래구","자연증가건수 (명)",1527,1156,750,693,670,356,408,691,590,573,639,640,732,368,390,461,280,-53,-359
"동래구","자연증가율 (천명당)",5.1,3.9,2.6,2.4,2.4,1.3,1.5,2.4,2.1,2.0,2.3,2.3,2.6,1.3,1.4,1.7,1.0,-0.2,-1.4
"동래구","혼인건수 (건)",1658,1520,1460,1390,1406,1238,1423,1650,1426,1386,1390,1486,1458,1426,1339,1223,1237,1088,1064
"동래구","조혼인율 (천명당)",5.5,5.1,5.0,4.9,5.0,4.5,5.1,5.8,5.0,4.9,5.0,5.3,5.2,5.2,4.9,4.5,4.6,4.0,4.0
"동래구","이혼건수 (건)",760,761,876,1000,815,648,609,583,575,618,553,519,541,532,558,465,467,460,458
"동래구","조이혼율 (천명당)",2.5,2.6,3.0,3.5,2.9,2.3,2.2,2.1,2.0,2.2,2.0,1.9,1.9,1.9,2.0,1.7,1.7,1.7,1.7
"남구","출생건수 (명)",3148,2867,2507,2613,2500,2219,2139,2398,2303,2239,2436,2325,2239,2051,1997,1940,1718,1439,1295
"남구","조출생률 (천명당)",10.5,9.5,8.2,8.5,8.2,7.3,7.1,8.1,7.7,7.5,8.2,7.9,7.7,7.1,7.0,6.9,6.2,5.3,4.7
"남구","사망건수 (명)",1537,1484,1469,1490,1475,1551,1486,1500,1569,1552,1590,1630,1672,1593,1625,1621,1715,1648,1768
"남구","조사망률 (천명당)",5.1,4.9,4.8,4.9,4.8,5.1,5.0,5.0,5.3,5.2,5.4,5.6,5.8,5.5,5.7,5.7,6.2,6.0,6.5
"남구","자연증가건수 (명)",1611,1383,1038,1123,1025,668,653,898,734,687,846,695,567,458,372,319,3,-209,-473
"남구","자연증가율 (천명당)",5.4,4.6,3.4,3.7,3.4,2.2,2.2,3.0,2.5,2.3,2.9,2.4,2.0,1.6,1.3,1.1,0.0,-0.8,-1.7
"남구","혼인건수 (건)",1821,1815,1683,1656,1671,1607,1701,1786,1772,1564,1592,1552,1529,1542,1448,1313,1153,1023,1065
"남구","조혼인율 (천명당)",6.1,6.0,5.5,5.4,5.5,5.3,5.7,6.0,6.0,5.2,5.4,5.3,5.3,5.3,5.1,4.7,4.1,3.7,3.9
"남구","이혼건수 (건)",758,743,944,1125,912,770,669,618,586,683,611,622,558,555,600,487,504,500,454
"남구","조이혼율 (천명당)",2.5,2.5,3.1,3.7,3.0,2.5,2.2,2.1,2.0,2.3,2.1,2.1,1.9,1.9,2.1,1.7,1.8,1.8,1.7
"북구","출생건수 (명)",4055,3351,2919,3105,2952,2755,2603,2736,2477,2252,2367,2319,2578,2405,2396,2397,2417,2113,1797
"북구","조출생률 (천명당)",13.2,10.8,9.2,9.6,8.9,8.2,7.8,8.3,7.7,7.1,7.6,7.5,8.4,7.8,7.8,7.8,7.8,6.9,6.0
"북구","사망건수 (명)",1193,1237,1333,1358,1381,1465,1388,1473,1421,1372,1450,1538,1608,1492,1527,1571,1567,1606,1686
"북구","조사망률 (천명당)",3.9,4.0,4.2,4.2,4.2,4.4,4.2,4.5,4.4,4.3,4.6,5.0,5.2,4.8,5.0,5.1,5.1,5.3,5.7
"북구","자연증가건수 (명)",2862,2114,1586,1747,1571,1290,1215,1263,1056,880,917,781,970,913,869,826,850,507,111
"북구","자연증가율 (천명당)",9.3,6.8,5.0,5.4,4.8,3.9,3.6,3.9,3.3,2.8,2.9,2.5,3.1,3.0,2.8,2.7,2.8,1.7,0.4
"북구","혼인건수 (건)",1951,1723,1842,1765,1787,1774,1781,1791,1711,1520,1701,1671,1857,1893,1550,1652,1668,1357,1238
"북구","조혼인율 (천명당)",6.4,5.6,5.8,5.5,5.4,5.3,5.3,5.5,5.3,4.8,5.5,5.4,6.0,6.1,5.1,5.4,5.4,4.5,4.2
"북구","이혼건수 (건)",790,849,1072,1318,986,847,806,765,731,741,639,638,650,622,637,584,615,550,574
"북구","조이혼율 (천명당)",2.6,2.7,3.4,4.1,3.0,2.5,2.4,2.3,2.3,2.3,2.0,2.1,2.1,2.0,2.1,1.9,2.0,1.8,1.9
"해운대구","출생건수 (명)",5003,4302,3524,3380,3115,2964,3117,3646,3314,3229,3368,3493,3473,3148,3092,3022,2845,2275,2084
"해운대구","조출생률 (천명당)",12.3,10.5,8.7,8.4,7.7,7.3,7.6,8.7,7.8,7.6,7.9,8.3,8.2,7.4,7.3,7.2,6.8,5.5,5.1
"해운대구","사망건수 (명)",1696,1771,1812,1809,1840,1883,1912,1990,1960,1928,1970,1987,2154,2006,1967,2211,2201,2152,2381
"해운대구","조사망률 (천명당)",4.2,4.3,4.5,4.5,4.6,4.7,4.6,4.7,4.6,4.5,4.7,4.7,5.1,4.7,4.7,5.3,5.3,5.2,5.9
"해운대구","자연증가건수 (명)",3307,2531,1712,1571,1275,1081,1205,1656,1354,1301,1398,1506,1319,1142,1125,811,644,123,-297
"해운대구","자연증가율 (천명당)",8.1,6.2,4.2,3.9,3.2,2.7,2.9,3.9,3.2,3.1,3.3,3.6,3.1,2.7,2.7,1.9,1.5,0.3,-0.7
"해운대구","혼인건수 (건)",2480,2142,2081,1975,1971,1875,2181,2415,2184,2041,2297,2209,2290,2212,1936,2040,1760,1576,1456
"해운대구","조혼인율 (천명당)",6.1,5.2,5.1,4.9,4.9,4.6,5.3,5.7,5.1,4.8,5.4,5.2,5.4,5.2,4.6,4.9,4.2,3.8,3.6
"해운대구","이혼건수 (건)",1154,1252,1389,1599,1254,1116,1013,1048,921,953,883,857,862,850,819,797,749,743,713
"해운대구","조이혼율 (천명당)",2.8,3.1,3.4,4.0,3.1,2.8,2.5,2.5,2.2,2.2,2.1,2.0,2.0,2.0,1.9,1.9,1.8,1.8,1.8
"사하구","출생건수 (명)",4533,3903,3495,3182,3194,2857,2919,3088,3118,2965,3053,3239,3219,2851,2724,2696,2398,2065,1828
"사하구","조출생률 (천명당)",11.7,10.1,9.2,8.4,8.5,7.7,7.9,8.4,8.5,8.2,8.5,9.2,9.2,8.2,7.9,8.0,7.2,6.2,5.6
"사하구","사망건수 (명)",1690,1727,1715,1756,1737,1824,1790,1832,1806,1818,1837,1824,1859,1853,1848,1931,1903,2086,2145
"사하구","조사망률 (천명당)",4.3,4.5,4.5,4.7,4.6,4.9,4.8,5.0,4.9,5.0,5.1,5.2,5.3,5.3,5.4,5.7,5.7,6.3,6.5
"사하구","자연증가건수 (명)",2843,2176,1780,1426,1457,1033,1129,1256,1312,1147,1216,1415,1360,998,876,765,495,-21,-317
"사하구","자연증가율 (천명당)",7.3,5.6,4.7,3.8,3.9,2.8,3.1,3.4,3.6,3.2,3.4,4.0,3.9,2.9,2.6,2.3,1.5,-0.1,-1.0
"사하구","혼인건수 (건)",2519,2368,2141,2083,2077,2020,2136,2392,2268,2077,2272,2284,2161,2232,1922,1786,1738,1697,1505
"사하구","조혼인율 (천명당)",6.5,6.1,5.6,5.5,5.5,5.4,5.8,6.5,6.2,5.7,6.4,6.5,6.2,6.4,5.6,5.3,5.2,5.1,4.6
"사하구","이혼건수 (건)",1056,1115,1258,1477,1182,1028,948,970,838,906,794,774,797,786,764,676,733,697,729
"사하구","조이혼율 (천명당)",2.7,2.9,3.3,3.9,3.2,2.8,2.6,2.7,2.3,2.5,2.2,2.2,2.3,2.3,2.2,2.0,2.2,2.1,2.2
"금정구","출생건수 (명)",3037,2585,2151,2087,1905,1619,1559,1822,1592,1453,1632,1621,1722,1548,1469,1540,1275,1204,1080
"금정구","조출생률 (천명당)",10.4,8.9,7.6,7.5,7.0,6.0,5.9,7.0,6.2,5.7,6.5,6.4,6.8,6.1,5.9,6.3,5.3,5.0,4.5
"금정구","사망건수 (명)",1342,1380,1437,1388,1449,1367,1484,1442,1459,1466,1448,1349,1431,1512,1470,1514,1497,1547,1672
"금정구","조사망률 (천명당)",4.6,4.8,5.1,5.0,5.3,5.1,5.6,5.5,5.7,5.8,5.7,5.4,5.7,6.0,5.9,6.2,6.2,6.4,6.9
"금정구","자연증가건수 (명)",1695,1205,714,699,456,252,75,380,133,-13,184,272,291,36,-1,26,-222,-343,-592
"금정구","자연증가율 (천명당)",5.8,4.2,2.5,2.5,1.7,0.9,0.3,1.5,0.5,-0.1,0.7,1.1,1.2,0.1,0.0,0.1,-0.9,-1.4,-2.5
"금정구","혼인건수 (건)",1752,1483,1418,1419,1352,1272,1348,1356,1282,1111,1191,1216,1263,1324,1177,1184,1004,974,930
"금정구","조혼인율 (천명당)",6.0,5.1,5.0,5.1,5.0,4.7,5.1,5.2,5.0,4.4,4.7,4.8,5.0,5.3,4.7,4.8,4.1,4.0,3.9
"금정구","이혼건수 (건)",689,647,817,912,749,664,565,553,499,536,445,479,492,506,469,397,403,407,431
"금정구","조이혼율 (천명당)",2.3,2.2,2.9,3.3,2.7,2.5,2.1,2.1,1.9,2.1,1.8,1.9,1.9,2.0,1.9,1.6,1.7,1.7,1.8
"강서구","출생건수 (명)",534,440,356,369,293,315,302,326,301,415,609,567,671,680,925,1365,1601,1731,1607
"강서구","조출생률 (천명당)",8.4,7.2,6.0,6.4,5.3,5.8,5.6,6.2,5.8,7.4,10.0,9.0,10.4,10.2,12.5,15.8,15.9,15.4,13.5
"강서구","사망건수 (명)",492,457,444,467,436,419,426,433,426,378,459,467,418,473,449,466,493,511,556
"강서구","조사망률 (천명당)",7.8,7.5,7.5,8.1,7.8,7.7,8.0,8.2,8.2,6.7,7.5,7.4,6.5,7.1,6.1,5.4,4.9,4.6,4.7
"강서구","자연증가건수 (명)",42,-17,-88,-98,-143,-104,-124,-107,-125,37,150,100,253,207,476,899,1108,1220,1051
"강서구","자연증가율 (천명당)",0.7,-0.3,-1.5,-1.7,-2.6,-1.9,-2.3,-2.0,-2.4,0.7,2.5,1.6,3.9,3.1,6.4,10.4,11.0,10.9,8.8
"강서구","혼인건수 (건)",387,323,338,308,319,298,333,336,318,364,449,399,418,479,624,768,839,905,851
"강서구","조혼인율 (천명당)",6.1,5.3,5.7,5.4,5.7,5.5,6.2,6.4,6.1,6.5,7.4,6.4,6.5,7.2,8.4,8.9,8.3,8.1,7.1
"강서구","이혼건수 (건)",182,196,199,232,187,169,145,153,136,149,142,163,165,157,155,185,204,244,270
"강서구","조이혼율 (천명당)",2.9,3.2,3.4,4.0,3.4,3.1,2.7,2.9,2.6,2.6,2.3,2.6,2.6,2.3,2.1,2.1,2.0,2.2,2.3
"연제구","출생건수 (명)",2246,1872,1770,1841,1596,1491,1558,1679,1596,1503,1635,1669,1710,1494,1563,1513,1478,1278,1264
"연제구","조출생률 (천명당)",10.0,8.3,7.8,8.1,7.1,6.8,7.2,7.9,7.5,7.1,7.8,7.9,8.1,7.2,7.6,7.3,7.2,6.2,6.2
"연제구","사망건수 (명)",1037,1077,1040,1041,1126,1031,1098,1114,1023,1091,1084,1111,1154,1151,1120,1107,1129,1188,1266
"연제구","조사망률 (천명당)",4.6,4.8,4.6,4.6,5.0,4.7,5.1,5.2,4.8,5.2,5.2,5.3,5.5,5.5,5.4,5.3,5.5,5.8,6.2
"연제구","자연증가건수 (명)",1209,795,730,800,470,460,460,565,573,412,551,558,556,343,443,406,349,90,-2
"연제구","자연증가율 (천명당)",5.4,3.5,3.2,3.5,2.1,2.1,2.1,2.6,2.7,1.9,2.6,2.7,2.6,1.6,2.1,2.0,1.7,0.4,0.0
"연제구","혼인건수 (건)",1230,1217,1277,1184,1207,1095,1161,1225,1197,1159,1235,1231,1217,1204,1114,1071,1030,960,904
"연제구","조혼인율 (천명당)",5.5,5.4,5.6,5.2,5.4,5.0,5.4,5.7,5.6,5.5,5.9,5.9,5.8,5.8,5.4,5.2,5.0,4.7,4.4
"연제구","이혼건수 (건)",581,588,667,848,658,567,501,511,461,481,422,403,409,420,407,372,367,338,393
"연제구","조이혼율 (천명당)",2.6,2.6,2.9,3.7,2.9,2.6,2.3,2.4,2.2,2.3,2.0,1.9,1.9,2.0,2.0,1.8,1.8,1.7,1.9
"수영구","출생건수 (명)",1749,1536,1284,1219,1269,1274,1258,1389,1290,1137,1264,1309,1327,1180,1201,1374,1263,1082,955
"수영구","조출생률 (천명당)",9.4,8.4,7.2,6.9,7.1,7.1,7.1,7.8,7.3,6.4,7.2,7.5,7.6,6.8,6.9,7.7,7.1,6.1,5.4
"수영구","사망건수 (명)",900,890,881,896,855,879,943,912,987,890,1000,972,998,1013,1042,1047,1073,1119,1150
"수영구","조사망률 (천명당)",4.8,4.9,4.9,5.0,4.8,4.9,5.3,5.1,5.6,5.0,5.7,5.5,5.7,5.8,6.0,5.9,6.0,6.3,6.5
"수영구","자연증가건수 (명)",849,646,403,323,414,395,315,477,303,247,264,337,329,167,159,327,190,-37,-195
"수영구","자연증가율 (천명당)",4.6,3.5,2.2,1.8,2.3,2.2,1.8,2.7,1.7,1.4,1.5,1.9,1.9,1.0,0.9,1.8,1.1,-0.2,-1.1
"수영구","혼인건수 (건)",1060,1020,1017,928,1022,921,957,1078,948,854,954,1027,1075,1073,1096,1159,983,884,856
"수영구","조혼인율 (천명당)",5.7,5.6,5.7,5.2,5.7,5.1,5.4,6.1,5.3,4.8,5.4,5.9,6.2,6.2,6.3,6.5,5.5,5.0,4.9
"수영구","이혼건수 (건)",480,488,550,674,514,524,446,424,392,451,368,377,391,391,367,351,371,361,359
"수영구","조이혼율 (천명당)",2.6,2.7,3.1,3.8,2.9,2.9,2.5,2.4,2.2,2.5,2.1,2.1,2.2,2.2,2.1,2.0,2.1,2.0,2.0
"사상구","출생건수 (명)",3869,3480,2802,2683,2445,2094,2147,2298,2168,1905,2186,2196,2315,2040,2014,2001,1682,1437,1245
"사상구","조출생률 (천명당)",13.0,11.6,9.4,9.2,8.6,7.5,7.8,8.6,8.2,7.4,8.6,8.7,9.3,8.3,8.3,8.4,7.2,6.3,5.6
"사상구","사망건수 (명)",1223,1180,1241,1201,1266,1274,1253,1266,1255,1212,1334,1274,1404,1318,1377,1405,1408,1405,1411
"사상구","조사망률 (천명당)",4.1,3.9,4.2,4.1,4.4,4.6,4.6,4.7,4.8,4.7,5.2,5.0,5.6,5.4,5.7,5.9,6.0,6.1,6.3
"사상구","자연증가건수 (명)",2646,2300,1561,1482,1179,820,894,1032,913,693,852,922,911,722,637,596,274,32,-166
"사상구","자연증가율 (천명당)",8.9,7.6,5.3,5.1,4.1,2.9,3.3,3.8,3.5,2.7,3.3,3.6,3.6,2.9,2.6,2.5,1.2,0.1,-0.7
"사상구","혼인건수 (건)",1985,1957,1741,1718,1678,1630,1688,1721,1599,1484,1693,1661,1625,1600,1403,1382,1209,1106,998
"사상구","조혼인율 (천명당)",6.6,6.5,5.9,5.9,5.9,5.8,6.1,6.4,6.1,5.8,6.6,6.6,6.5,6.5,5.8,5.8,5.2,4.8,4.5
"사상구","이혼건수 (건)",723,805,919,1058,924,773,722,692,589,631,614,554,582,546,552,462,485,451,439
"사상구","조이혼율 (천명당)",2.4,2.7,3.1,3.6,3.2,2.8,2.6,2.6,2.2,2.4,2.4,2.2,2.3,2.2,2.3,1.9,2.1,2.0,2.0
"기장군","출생건수 (명)",820,738,703,705,713,694,623,620,637,682,1077,1165,1429,1503,1924,1963,1960,1636,1368
"기장군","조출생률 (천명당)",11.0,9.8,9.2,9.2,9.1,8.7,7.8,7.8,7.9,8.0,11.3,11.1,12.9,12.2,14.0,13.2,12.6,10.3,8.4
"기장군","사망건수 (명)",507,530,531,497,585,573,563,570,594,596,625,610,718,754,800,866,853,967,990
"기장군","조사망률 (천명당)",6.8,7.0,7.0,6.5,7.4,7.2,7.1,7.2,7.4,7.0,6.5,5.8,6.5,6.1,5.8,5.8,5.5,6.1,6.1
"기장군","자연증가건수 (명)",313,208,172,208,128,121,60,50,43,86,452,555,711,749,1124,1097,1107,669,378
"기장군","자연증가율 (천명당)",4.2,2.8,2.3,2.7,1.6,1.5,0.8,0.6,0.5,1.0,4.7,5.3,6.4,6.1,8.2,7.4,7.1,4.2,2.3
"기장군","혼인건수 (건)",438,424,474,429,436,451,427,501,485,607,749,682,796,964,1054,1058,982,832,772
"기장군","조혼인율 (천명당)",5.9,5.6,6.2,5.6,5.5,5.6,5.4,6.3,6.0,7.1,7.8,6.5,7.2,7.9,7.6,7.1,6.3,5.2,4.8
"기장군","이혼건수 (건)",199,257,197,294,299,263,217,202,225,232,259,270,256,298,315,295,337,374,381
"기장군","조이혼율 (천명당)",2.7,3.4,2.6,3.8,3.8,3.3,2.7,2.5,2.8,2.7,2.7,2.6,2.3,2.4,2.3,2.0,2.2,2.3,2.3
